"","scientificName","female.mass","male.mass","female.body.length","male.body.length","tots"
"66","Dryomys nitedula",0,0,10,19,1
"67","Ellobius tancrei",27,26,78,67,2
"68","Enhydra lutris",184,246,760,986,2
"69","Eolagurus luteus",37,20,92,62,2
"70","Epomophorus wahlbergi",0,0,16,16,1
"71","Eptesicus fuscus",53,34,70,74,2
"72","Eptesicus gobiensis",22,25,24,28,2
"73","Erethizon dorsatum",13,0,17,11,1
"74","Eumetopias jubatus",0,0,29,28,1
"75","Geomys arenarius",0,0,51,13,1
"76","Geomys breviceps",0,0,80,16,1
"77","Geomys bursarius",10,0,359,223,1
"78","Geomys personatus",16,19,591,405,2
"79","Gerbilliscus leucogaster",0,0,13,10,1
"80","Glaucomys sabrinus",11,0,39,29,1
"81","Glaucomys volans",11,0,32,25,1
"82","Glossophaga longirostris",86,72,84,56,2
"83","Glossophaga soricina",27,39,30,42,2
"84","Gulo gulo",24,25,53,39,2
"85","Hemiechinus auritus",0,0,11,17,1
"86","Heteromys desmarestianus",23,12,58,34,2
"87","Hipposideros larvatus",35,63,0,0,1
"88","Hipposideros ruber",46,53,48,56,2
"89","Histriophoca fasciata",0,10,16,14,1
"90","Lasionycteris noctivagans",25,27,24,30,2
"91","Lasiurus borealis",17,0,32,20,1
"92","Lasiurus cinereus",22,0,26,32,1
"93","Lemmiscus curtatus",18,11,52,31,2
"94","Lemmus sibiricus",103,144,287,388,2
"95","Lemmus trimucronatus",384,602,989,1594,2
"96","Lepus americanus",12,10,32,43,2
"97","Lepus californicus",13,14,54,43,2
"98","Lepus othus",27,33,73,82,2
"99","Lontra canadensis",0,0,23,34,1
"100","Lutra canadensis",12,18,33,56,2
"101","Lynx canadensis",38,40,60,86,2
"102","Lynx rufus",17,16,37,36,2
"103","Macaca fascicularis",12,15,40,36,2
"104","Marmota broweri",0,0,15,12,1
"105","Marmota caligata",0,0,26,15,1
"106","Marmota monax",33,22,50,59,2
"107","Martes americana",40,59,244,336,2
"108","Martes pennanti",20,25,80,88,2
"109","Mephitis mephitis",0,0,41,87,1
"110","Meriones meridianus",71,70,188,184,2
"111","Meriones tamariscinus",0,0,18,16,1
"112","Meriones unguiculatus",45,42,118,102,2
"113","Micaelamys namaquensis",0,0,11,12,1
"114","Micropteropus pusillus",72,12,74,10,2
"115","Microtus californicus",38,29,124,116,2
"116","Microtus chrotorrhinus",17,22,70,79,2
"117","Microtus fortis",45,40,123,103,2
"118","Microtus gregalis",70,51,181,136,2
"119","Microtus hyperboreus",0,0,14,10,1
"120","Microtus longicaudus",145,158,399,438,2
"121","Microtus maximowiczii",42,30,118,74,2
"122","Microtus mexicanus",0,0,14,10,1
"123","Microtus miurus",92,36,245,87,2
"124","Microtus mogollonensis",0,0,16,15,1
"125","Microtus mongolicus",23,27,58,72,2
"126","Microtus montanus",67,66,169,164,2
"127","Microtus ochrogaster",15,30,20,39,2
"128","Microtus oeconomus",355,345,888,863,2
"129","Microtus oregoni",0,0,10,10,1
"130","Microtus pennsylvanicus",293,289,865,862,2
"131","Microtus pinetorum",12,10,44,63,2
"132","Microtus richardsoni",11,0,40,13,1
"133","Mirounga angustirostris",0,0,25,16,1
"134","Molossus molossus",180,73,190,78,2
"135","Monophyllus plethodon",57,49,54,52,2
"136","Mops condylurus",0,16,16,16,1
"137","Mus musculus",369,398,1072,1252,2
"138","Mustela erminea",18,22,46,58,2
"139","Mustela frenata",0,14,48,128,1
"140","Mustela nivalis",15,16,36,33,2
"141","Mustela vison",18,33,48,107,2
"142","Myodes gapperi",283,236,581,501,2
"143","Myodes glareolus",37,39,114,123,2
"144","Myodes rufocanus",157,162,293,326,2
"145","Myodes rutilus",610,686,1480,1585,2
"146","Myopus schisticolor",81,31,201,84,2
"147","Myotis aurascens",17,23,18,24,2
"148","Myotis californicus",56,26,20,14,2
"149","Myotis keeni",10,13,0,0,1
"150","Myotis keenii",38,23,32,14,2
"151","Myotis lucifugus",689,288,178,52,2
"152","Myotis nyctor",16,19,20,20,2
"153","Myotis sodalis",0,0,10,12,1
"154","Myotis velifer",16,26,48,78,2
"155","Myotis yumanensis",25,16,16,14,2
"156","Napaeozapus insignis",137,132,170,246,2
"157","Nasalis larvatus",0,0,21,14,1
"158","Neofiber alleni",0,0,10,29,1
"159","Neotoma albigula",372,327,1005,910,2
"160","Neotoma cinerea",0,13,26,32,1
"161","Neotoma floridana",0,0,35,36,1
"162","Neotoma fuscipes",0,0,55,33,1
"163","Neotoma lepida",27,37,74,108,2
"164","Neotoma mexicana",63,51,170,138,2
"165","Neotoma micropus",57,75,335,308,2
"166","Neotoma stephensi",37,27,98,64,2
"167","Neovison vison",43,80,94,206,2
"168","Neurotrichus gibbsii",0,0,19,26,1
"169","Noctilio leporinus",39,46,36,46,2
"170","Notiosorex crawfordi",0,10,13,34,1
"171","Ochotona collaris",0,13,16,40,1
"172","Ochotona dauurica",14,15,38,34,2
"173","Ochotona hyperborea",21,14,42,17,2
"174","Ochotona pallasi",41,20,111,49,2
"175","Ochotona princeps",0,0,21,46,1
"176","Ochrotomys nuttalli",0,0,54,74,1
"177","Oligoryzomys costaricensis",66,90,174,224,2
"178","Oligoryzomys fulvescens",47,59,122,171,2
"179","Oligoryzomys longicaudatus",14,17,35,45,2
"180","Ondatra zibethicus",10,13,87,139,2
"181","Onychomys leucogaster",42,40,213,209,2
"182","Onychomys torridus",34,28,28,29,2
"183","Oryzomys palustris",96,121,265,364,2
"184","Oryzomys saturatior",0,32,14,81,1
"185","Otospermophilus beecheyi",12,16,70,92,2
"186","Parascalops breweri",0,21,33,80,1
"187","Perognathus flavescens",0,12,40,15,1
"188","Perognathus flavus",16,19,47,52,2
"189","Perognathus longimembris",0,0,24,25,1
"190","Perognathus merriami",13,12,677,695,2
"191","Perognathus parvus",30,30,85,101,2
"192","Peromyscus attwateri",0,0,70,97,1
"193","Peromyscus aztecus",0,0,20,18,1
"194","Peromyscus boylii",66,68,227,256,2
"195","Peromyscus californicus",0,0,116,184,1
"196","Peromyscus difficilis",0,0,37,34,1
"197","Peromyscus eremicus",54,54,189,193,2
"198","Peromyscus gossypinus",17,22,204,264,2
"199","Peromyscus keeni",413,377,1050,1006,2
"200","Peromyscus leucopus",430,537,1747,2421,2
"201","Peromyscus levipes",0,0,11,12,1
"202","Peromyscus maniculatus",1342,1660,3278,4202,2
"203","Peromyscus mexicanus",20,34,34,45,2
"204","Peromyscus nasutus",10,21,29,56,2
"205","Peromyscus nudipes",0,0,33,19,1
"206","Peromyscus pectoralis",29,56,137,266,2
"207","Peromyscus polionotus",619,646,1667,1693,2
"208","Peromyscus truei",119,141,400,465,2
"209","Phenacomys intermedius",27,13,77,34,2
"210","Phoca largha",11,20,30,53,2
"211","Phoca vitulina",43,38,107,103,2
"212","Phocoena phocoena",0,0,21,36,1
"213","Phodopus campbelli",21,16,52,42,2
"214","Phodopus roborovskii",22,28,52,72,2
"215","Phyllostomus hastatus",10,12,10,12,2
"216","Pipistrellus nanus",16,0,16,16,1
"217","Pipistrellus subflavus",10,11,28,28,2
"218","Platyrrhinus lineatus",44,61,46,62,2
"219","Plecotus townsendii",0,0,34,24,1
"220","Podomys floridanus",10,13,33,32,2
"221","Presbytis cristata",23,12,56,28,2
"222","Presbytis rubicunda",18,17,51,47,2
"223","Procyon lotor",12,33,99,122,2
"224","Pteronotus davyi",17,16,18,24,2
"225","Pteronotus parnellii",28,29,28,28,2
"226","Pygeretmus pumilio",0,11,16,31,1
"227","Pygoderma bilabiatum",253,157,260,160,2
"228","Rattus norvegicus",72,71,218,209,2
"229","Rattus rattus",93,111,273,338,2
"230","Reithrodontomys creper",20,25,57,68,2
"231","Reithrodontomys fulvescens",92,142,290,419,2
"232","Reithrodontomys megalotis",114,112,312,374,2
"233","Reithrodontomys mexicanus",0,16,14,38,1
"234","Rhinolophus fumigatus",0,0,12,10,1
"235","Rousettus leschenaulti",14,12,0,0,1
"236","Scalopus aquaticus",0,0,84,121,1
"237","Scapanus latimanus",0,0,41,18,1
"238","Scapanus orarius",0,0,11,10,1
"239","Sciurus aberti",0,0,14,11,1
"240","Sciurus carolinensis",10,21,67,87,2
"241","Sciurus griseus",0,14,53,71,1
"242","Sciurus niger",44,60,211,319,2
"243","Sciurus vulgaris",0,0,11,15,1
"244","Scotinomys teguina",26,22,59,52,2
"245","Scotinomys xerampelinus",0,0,20,13,1
"246","Scotophilus kuhlii",90,109,0,0,1
"247","Scotophilus nigrita",0,22,10,26,1
"248","Sigmodon arizonae",0,0,10,21,1
"249","Sigmodon hirsutus",344,412,885,1072,2
"250","Sorex araneus",14,0,46,33,1
"251","Sorex arcticus",13,12,22,14,2
"252","Sorex caecutiens",26,62,61,89,2
"253","Sorex cinereus",214,247,613,663,2
"254","Sorex fumeus",30,46,137,166,2
"255","Sorex isodon",13,30,36,62,2
"256","Sorex minutissimus",0,0,12,11,1
"257","Sorex monticolus",221,124,613,336,2
"258","Sorex ornatus",0,14,15,43,1
"259","Sorex pacificus",18,13,24,28,2
"260","Sorex palustris",22,0,65,32,1
"261","Sorex preblei",0,0,27,13,1
"262","Sorex trowbridgii",32,45,67,132,2
"263","Sorex tundrensis",37,37,91,85,2
"264","Sorex ugyunak",12,0,24,12,1
"265","Sorex vagrans",32,18,119,58,2
"266","Spermophilus columbianus",12,18,36,43,2
"267","Spermophilus dauricus",0,0,13,18,1
"268","Spermophilus lateralis",0,0,31,25,1
"269","Spermophilus mexicanus",0,0,134,72,1
"270","Spermophilus parryii",0,0,10,18,1
"271","Spermophilus parvidens",12,0,23,14,1
"272","Spermophilus tereticaudus",0,0,14,10,1
"273","Spermophilus tridecemlineatus",12,15,37,51,2
"274","Spermophilus variegatus",0,0,51,56,1
"275","Sturnira lilium",601,636,614,652,2
"276","Stylodipus sungorus",15,10,40,23,2
"277","Sylvilagus audubonii",13,18,61,77,2
"278","Sylvilagus floridanus",0,0,86,74,1
"279","Sylvilagus transitionalis",0,0,20,29,1
"280","Synaptomys borealis",11,18,30,48,2
"281","Synaptomys cooperi",0,13,32,86,1
"282","Tadarida brasiliensis",28,65,48,100,2
"283","Tamias amoenus",34,29,91,90,2
"284","Tamias canipes",0,0,16,11,1
"285","Tamias dorsalis",0,14,15,39,1
"286","Tamias merriami",0,0,25,16,1
"287","Tamias minimus",32,38,83,111,2
"288","Tamias quadrivittatus",0,13,28,37,1
"289","Tamias senex",0,0,19,10,1
"290","Tamias sibiricus",18,16,45,34,2
"291","Tamias siskiyou",0,0,17,14,1
"292","Tamias striatus",114,77,199,152,2
"293","Tamiasciurus douglasii",0,0,20,18,1
"294","Tamiasciurus hudsonicus",115,114,293,310,2
"295","Taphozous melanopogon",31,72,0,0,1
"296","Taphozous theobaldi",39,110,0,0,1
"297","Taxidea taxus",0,10,17,38,1
"298","Thomomys bottae",25,13,193,107,2
"299","Thomomys talpoides",18,15,57,39,2
"300","Trichechus manatus",0,0,31,23,1
"301","Urocitellus elegans",28,29,77,77,2
"302","Urocitellus mollis",17,12,47,33,2
"303","Urocitellus parryii",159,129,404,309,2
"304","Urocitellus undulatus",42,44,105,121,2
"305","Urocyon cinereoargenteus",0,15,46,45,1
"306","Vulpes lagopus",79,89,15,22,2
"307","Vulpes macrotis",0,0,37,34,1
"308","Vulpes vulpes",19,27,27,72,2
"309","Zalophus californianus",88,43,480,1623,2
"310","Zapus hudsonius",50,43,152,141,2
"311","Zapus princeps",66,79,183,240,2
"312","Zygodontomys brevicauda",760,1079,1996,2793,2
